api_nro,tipo,institucion,localidad,provincia,domicilio,cp,telefono,email,lat,lon
136,IM,CGL Salta,Salta,Salta,Almirante Brown 166,A4400FCD,(0387) 4214869,luisinaleston@hotmail.com,-24.7868735,-65.4218429
137,IM,ASOCIACIÓN JUVENIL COMUNITARIA RED SOLIDARIA SALTA,Salta,Salta,Barrio Santa Lucía 00 2,A4400ZAA,,ajcsantalucia@hotmail.com,-24.7829323,-65.4121552
138,IM,Asociación de Fomento Vecinal EL PALMAR,Santiago del Estero,Santiago del Estero,Manzana D Lote 7 - Barrio Mariano Moreno,G4200ZAA,(0385) 4311312,hotoloza1954@yahoo.com.ar,-27.78442,-64.2672806
139,IM,Asociación Pro Fomento y Cultura del Barrio Río Dulce,La Banda,Santiago del Estero,Francia 450,G4300ZAA,(0385) 4373419,asoc.prof_riodulce@hotmail.com,-27.7582585,-64.2644816
140,IM,CGL Santiago del Estero,Santiago del Estero,Santiago del Estero,Garibaldi 44 1º,G4200BRB,(0385) 4221406,consorciodegestionlocal_sgo@yahoo.com.ar,-27.7905181,-64.2630175
141,IM,CADIF,San Miguel de Tucumán,Tucumán,Inca Garcilazo 694,T4105XCI,(0381) 4290999,cadif@arnet.com.ar,-26.8563165,-65.213798
142,IM,Centro Vecinal Barrio San Nicolás,Alderetes,Tucumán,Lamadrid  205,T4178ZAA,(0381) 4942032,ramongalarce@hotmail.com,-26.8166695,-65.1333313
143,IM,Fundación Madre Teresa de Calcuta,Zona Rural del Municipio,Tucumán,Calle 17 Nº 162,4117,(0381) 154987891,ceciliacordoba07@gmail.com,-26.9468463,-65.2857082
144,IM,Sociedad Vecinal de Socorros Mutuos BARRIOS DEL SUD,San Miguel de Tucumán,Tucumán,Jujuy 982,T4002JPN,(0381) 4241886,barriosdelsud@yahoo.com.ar,-26.8423815,-65.2137064
145,IM,CGL Tucumán,San Miguel de Tucumán,Tucumán,Pasaje Felipe Bertrés 278,4000,(0381) 4217174 / 4217179,consorciodegestiontucuman@gmail.com,-26.8215431176,-65.1983428001
146,IM,ATPPS,San Miguel de Tucumán,Tucumán,,T4105XCI,(0381) 4245844,atpps.microeconomia@gmail.com,-26.8082848,-65.2175903
147,CAF,Instituto Superior de Formacion Docente Nº 101,Villa Domínico,Buenos Aires,San Vicente Nº 206 1º piso ,B1874ETF,(011) 4217-4860,isfd101@yahoo.com.ar,-34.6949399,-58.3259487
148,CAF,"Universidad Nacional de Avellaneda - Departamento de Actividad FIsica, Deporte y Recreación",Avellaneda,Buenos Aires,Ameghino Nº 838 3º piso,B1870CVR,(011) 4201-8787 /  4201-5050,dpallarola@undav.edu.ar,-34.6619259,-58.3624257
149,CAF,Instituto Superior del Profesorado Pío XII,Avellaneda,Buenos Aires,Beruti Nº 75,B1870CAA,(011) 4201-8863 /  4201-3895,profesoradopioxii@gmail.com,-34.6621735,-58.3674101
150,CAF,Instituto Superior Santo Tomás de Aquino,Azul,Buenos Aires,San Martín 726,B7300BZN,(02281) 434808,santotomas@ciudad.com.ar; informes@santotomasdeaz,-36.78182429,-59.85863567
151,CAF,"Instituto Superior de Formación Docente Nº 86 ""Cacique ValentIn Sayhueque""",Bahía Blanca,Buenos Aires,Vieytes Nº 51. (Altos),B8000AEA,(0291) 4557814,isfd86@hotmail.com,-38.7160603,-62.26592869
152,CAF,Instituto Modelo de Educación Física,Banfield,Buenos Aires,Medrano Nº 155,B1828IPC,(011) 4202-0194 / 0665,imefprofesorado@yahoo.com.ar,-34.7481888,-58.3947486
153,CAF,Instituto Superior de Formación Docente Nº 18,Banfield,Buenos Aires,Av. Alsina Nº 1032,B1828ABV,(011) 4202-6462,isfdn18@yahoo.com.ar,-34.7486127,-58.3941371
154,CAF,Instituto Superior Modelo de Bella Vista,Bella Vista,Buenos Aires,Santa Fe 1226,B1661GDZ,(011) 4668-1529 / 4369,info@modelodebellavista.com.ar,-34.563705,-58.690397
155,CAF,Instituto Atanasio Lanz,Berazategui,Buenos Aires,Calle 151 Nº 2639,B1880ZAB,(011) 4256-4800,iesatanasiolanz@yahoo.com.ar,-34.76570608,-58.20783582
156,CAF,Instituto Superior de Estudios Terciarios,Chivilcoy,Buenos Aires,Av. Sarmiento Nº 227,B6620LPC,(02346) 429922,institutosantarosa07@hotmail.com,-34.9004438,-60.0144733
157,CAF,Instituto Superior Palomar de Caseros,El Palomar,Buenos Aires,Av. Wernicke 543,1684,(011) 4751-3557 /  4758-6636,palomardecaseros@hotmail.com,-34.626673,-58.59436
158,CAF,Instituto Superior de La Salle,Florida,Buenos Aires,H. Yrigoyen Nº 2599,B1602DLD,(011) 4791-4333,terciario@ilasalle.com.ar,-34.5277259,-58.4989694
159,CAF,"Instituto Superior ""Mario Pantaleo""",González Catán,Buenos Aires,Av. Coronel Conde Nº 5670,B1759ZAB,(02202) 420150 (interno 130 / 123),superior@padremario.org,-34.76272,-58.63008
160,CAF,Instituto Superior de Formación Docente y Técnica Nº 44,General Las Heras,Buenos Aires,Juez Dumont e/Villamayor S/N,B1741ZAA,(0220) 4761279,is057044@gmail.com,-34.92913381,-58.94535689
161,CAF,Instituto Almirante Guillermo Brown,Haedo,Buenos Aires,Las Bases Nº 151,B1706DBA,(011) 4443-8888,iagb@institutobrown.edu.ar,-34.6466589,-58.5934237
162,CAF,Instituto Superior Sagrado Corazón de Jesús,Hurlingham,Buenos Aires,Av. Roca Nº 1850,B1686LRR,(011)  4665-0826 / 3736,scorazon1@speedy.com.ar,-34.6058083,-58.7203157
163,CAF,"Instituto Superior ""Ceferino Namuncurá""",Hurlingham,Buenos Aires,Gorriti Nº 3520,B1686ZAB,(011) 4452-5858,is_ceferino_namuncura@hotmail.com,-34.5892626,-58.6703574
164,CAF,Instituto José Manuel Estrada,Ituzaingó,Buenos Aires,24 de Octubre Nº 569,B1714GSC,(011) 4624-4897,estrada@vaneduc.edu.ar,-34.6595002,-58.6620603
165,CAF,Instituto Superior de Formación Docente San Pedro,José C. Paz,Buenos Aires,Potosí Nº 4450,B1666ARH,(02320) 424474,,-34.52087319,-58.75047567
166,CAL,Centro de Atención Local,Lanús,Buenos Aires,Remedios de Escalada Nº 1441,B1824EJD,(011) 4368-7653 / 66,,-34.68505,-58.39949
167,CAL,Centro de Atención Local,Moreno,Buenos Aires,España 349 e/Independencia y Dorrego,B1744ZAB,(0237) 4629065,,-34.646372,-58.788676
168,CAL,Centro de Atención Local,Olavarría,Buenos Aires,Moreno Nº 2517,B7400CYE,(02284) 431777,,-36.89209,-60.314941
169,CAL,Centro de Atención Local,Junín,Buenos Aires,Hipólito Yrigoyen Nº 156,B6000DDD,(0236) 4444336,,-34.5822105,-60.9494019
170,CAL,Centro de Atención Local,Necochea,Buenos Aires,Calle 52 Nº 2805,B7630CUK,(02262) 427010,,-38.5559479,-58.7355002
171,CAL,Centro de Atención Local,Tandil,Buenos Aires,9 de Julio Nº 1608,B7000ARH,(0249) 4451055,,-37.3138814,-59.1424206
172,CAL,Centro de Atención Local,Lomas de Zamora,Buenos Aires,Sáenz Nº 271,B1832HUE,(011) 4243-9696 / 0268,,-34.75828,-58.400137
173,CAL,Centro de Atención Local,Tigre,Buenos Aires,Buenos Aires 765,B1648ZAB,(011) 4726-2890,,-34.458623,-58.633647
174,CAL,Centro de Atención Local,Dolores,Buenos Aires,Bme. Mitre Nº 314,B7100BZM,(02245) 443996,,-36.312422,-57.677895
175,CAL,Centro de Atención Local,Malvinas Argentinas,Buenos Aires,Av. Callao 1884 - Grand Bourg,B1615ZAB,(02320) 415643 / 9,,-34.485078,-58.7245337
176,CAL,Centro de Atención Local,Ezeiza,Buenos Aires,Sarmiento 265 - Tristán Suárez,B1806CPG,(011) 4234-2123,calezeiza@hotmail.com,-34.852235,-58.52432
177,CAL,Centro de Atención Local,Ituzaingó,Buenos Aires,Presidente Néstor Kirchner (ex 2º Rivadavia) Nº 21667,B1714ZAB,(011) 4661-4376 / 4498,,-34.659203,-58.666882
178,CAL,Centro de Atención Local,Florencio Varela,Buenos Aires,Balcarce Nº 2121,B1888FNG,(011) 4287-4141 / 4190,,-34.7836681,-58.2698638
179,CAL,Centro de Atención Local,San Martín,Buenos Aires,Yapeyú 1781/3,B1650BHC,(011) 4754-9080 / 84,,-34.577895,-58.532895
180,CAL,Centro de Atención Local,San Nicolás,Buenos Aires,9 de Julio Nº 75,B2900HGA,(0336) 4426839 / 4426878,,-33.3310332,-60.2203457
181,CAL,Centro de Atención Local,3 de Febrero,Buenos Aires,Urquiza 4465,B1678ZAB,(011) 4716-9350 / 51,,-34.606127,-58.557799
182,CAL,Centro de Atención Local,Almirante Brown,Buenos Aires,Ricardo Rojas 1095,B1852BNC,(011) 4238-1684 / 2032,,-34.824549,-58.387249
183,CAL,Centro de Atención Local,Mercedes,Buenos Aires,Calle 30 Nº 664,B6600DTI,(02324) 431234 / 431140,,-34.648948,-59.43074
184,CAL,Centro de Atención Local,San Vicente,Buenos Aires,Bolívar 156,B1865HND,(02225) 484983,,-35.026149,-58.424223
185,CAL,Centro de Atención Local,Esteban Echeverría,Buenos Aires,Gral. Rodriguez 701,B1842DIO,(011) 4296-5826,,-34.8201606,-58.4617166
186,CAL,Centro de Atención Local,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Adolfo Alsina Nº 1474,C1088AAL,(011) 4379-4805 / 70,,-34.611154,-58.387106
187,CAL,Centro de Atención Local,San Fernando del Valle de Catamarca,Catamarca,Av. Güemes 313,K4700CLD,(0383) 4451849 / 4420601,,-28.4762218,-65.782358
188,CAL,Centro de Atención Local,Resistencia,Chaco,Hipolito Yrigoyen Nº 337,H3500ADG,(0362) 4443458,,-27.4530295,-58.9826964
189,CAL,Centro de Atención Local,Castelli,Chaco,Salta 290,H3705ASF,(0364) 4471662,,-25.95112,-60.616851
190,CAL,Centro de Atención Local,Cdro. Rivadavia,Chubut,25 de Mayo 552,U9000BBB,(0297) 4473746,,-45.86434,-67.481507
191,CAL,Centro de Atención Local,Trelew,Chubut,Pje.Catamarca 235,U9100GIN,(0280) 426421,,-43.252039,-65.310517
192,CAL,Centro de Atención Local,Córdoba,Córdoba,La Rioja Nº 1401- Esq Chaco,X5000EWC,(0351) 4861040 / 4861193,,-31.405732,-64.201495
193,CAF,"Profesorado de Educación ""La Santísima Trinidad""",Villa María,Córdoba,Salta 1138,X5900ZAA,(0353) 4610640,"funesilef@arnetbiz.com.ar, peftrinitarios@yahoo.com.ar",-32.41450456,-63.24998996
194,CAF,Universidad Nacional de Villa María,Villa María,Córdoba,Arturo Jauretche Nº 1555,X5900ZAA,(0353) 4539100 / 4539103,lef.unvm@gmail.com,-32.41450456,-63.24998996
195,CAF,"Instituto Superior de Educación Física ""Prof. Antonio Alvarez""",Corrientes,Corrientes,Av. Patagonia Nº 1801,W3410CHH,(0379) 4414644,isefcorrientes@hotmail.com,-27.46580727,-58.83919815
196,CAF,"Instituto Superior del Profesorado ""Gral. José de San Martín""",Goya,Corrientes,Corrientes Nº 783,W3450ZAA,(03777) 432016 / 424226,institutosanmartin@arnet.com.ar,-29.14383324,-59.2604882
197,CAF,Universidad de Concepción del Uruguay - Facultad de Ciencias de la Comunicación y de la Educación,Concepción del Uruguay,Entre Ríos,8 de Junio Nº 522,E3260ZAA,(03442) 425606 / 427721,"fccye@ucu.edu.ar, academicafccye@ucu.edu.ar",-32.48777615,-58.23208347
198,CAF,Instituto Superior de las Especialidades de la Educación Física,Concordia,Entre Ríos,Mitre 390  y P del Castollo,E3200ZAA,(03454) 215919,marcelabordet@yahoo.com.ar,-31.39058996,-58.01625522
199,CAF,Universidad Autónoma de Entre Ríos - Facultad de Ciencias de la Vida y la Salud - Profesorado de Educación Física,Gualeguay,Entre Ríos,Corrientes Nº 198,E2840ESD,(03444) 423465,uader_guay@hotmail.com,-33.15095853,-59.31502806
200,CAF,Instituto del Profesorado de Educación Física D-171,Paraná,Entre Ríos,Santa Fe 474,E3100BTJ,(0343) 4217192,,-31.74400241,-60.52840642
201,CAF,Instituto de Educación Superior Santa Elena,Santa Elena,Entre Ríos,Villa Universitaria - Barrio Sur,E3192ZAA,(03437) 481282 / 481544,ies_santaelena@yahoo.com.ar,-30.94911254,-59.78828822
202,CAF,Instituto Superior de Educación Artística D-137,Villaguay,Entre Ríos,Balcarce Nº 1341,E3240BBA,(03455) 420454,isea@infinet.com.ar,-31.86787233,-59.02908046
203,CAF,Instituto Superior de FormaciOn Docente en Educación Física,Formosa,Formosa,Av. Napoleón Uriburu y Fortín Yunka,P3600ZAA,(0370) 4640114 / 4589981,crischeidegger@hotmail-com,-26.18537657,-58.17343254
204,CAF,Instituto de Educación Superior Nº 6 - Sede Monterrico,Monterrico,Jujuy,Crucero Gral. Belgrano Nº 552,Y4608ZAA,(0388) 4944893,,-24.44110606,-65.16224293
205,CAF,Instituto de Formación Docente Continua Nº 4,San Salvador de Jujuy,Jujuy,Av. Santibáñez Nº 1400,4600,(0388) 4236535,isfd4adm@yahoo.com.ar,-24.19794829,-65.30246565
206,CAF,"Instituto Superior de Educación Física ""Ciudad de General Pico""",General Pico,La Pampa,Av. San Martín 147,L6360ZAA,(02302) 421503,isefgp@generalpico.com.ar,-35.66571922,-63.76096283
207,CAF,"Instituto Superior de Formación Docente de Educación Física ""Prof. Ricardo Nolberto Viñas""",La Rioja,La Rioja,Av. Luis Vernet S/N,F5300ZAA,(0380) 4427083,isfdeflarioja@hotmail.com,-29.42426926,-66.8566596
208,CAF,"Instituto de Educación Física 9-016 ""Dr. Jorge E. Coll""",Godoy Cruz,Mendoza,Ing. Huergo y Güemes,M5501ZAA,(0261) 4229265 / 4229266,iefmza@yahoo.com.ar,-32.91518014,-68.85730381
209,CAF,"Universidad ""Juan Agustín Maza""",Guaymallén,Mendoza,Acceso Este Lateral Sur Nº2245,5519,(0261) 4056200 / 4056249,umaza@umaza.edu.ar,-32.88701639,-68.82204358
210,CAF,Fundación Santísima Trinidad,San Rafael,Mendoza,Coronel Suárez Nº 340,M5602HHH,(0260) 4430885 / 4435152,fundacion@santisimatrinidad.edu.ar  fsantatrinidad@yahoo.com.ar,-34.6162803,-68.3338178
211,CIC,Centro Integrador Comunitario,Merlo,Buenos Aires,Calles Olleros y Zavaleta - Libertad,,,,-34.696929,-58.662674
212,CIC,Centro Integrador Comunitario,Merlo,Buenos Aires,Calles Loria y Guaminí - Río Alegre,,,,-34.69048,-58.838353
213,CIC,Centro Integrador Comunitario,General Alvarado,Buenos Aires,Calles 110 y 11 - Barrio Aeropuerto - Miramar,,,,-38.238762,-57.870773
214,CIC,Centro Integrador Comunitario,Moreno,Buenos Aires,Calles Corrientes y Martin. L. King - Sanguinetti,,(0237) 4629542,,-34.64388882,-58.75908852
215,CIC,Centro Integrador Comunitario,Moreno,Buenos Aires,Ruta 23 y O´Brien  - La Bibiana,,(0237) 4681156,,-34.614456,-58.768315
216,CIC,Centro Integrador Comunitario,Olavarría,Buenos Aires,Calles 12 y 113 bis,,(0228) 4420882,,-36.8920898,-60.3149414
217,CIC,Centro Integrador Comunitario,Pehuajó,Buenos Aires,Calles Maciel y Zagnini ,,,,-35.8110008,-61.8956757
218,CIC,Centro Integrador Comunitario,Quilmes,Buenos Aires,Calles Los Andes y 172 - Barrio IAPI,,(011) 4270-2110,,-34.72415456,-58.321652412
219,CIC,Centro Integrador Comunitario,Quilmes,Buenos Aires,Calles Luis M. Campos y Bermejo - Azul / Triángulo de Bernal,,,,-34.71146,-58.312439
220,CIC,Centro Integrador Comunitario,Quilmes,Buenos Aires,Calles 892 y 802 - San Francisco Solano- Barrio La Paz,,(011) 4270-6190,,-34.748189,-58.329527
221,CIC,Centro Integrador Comunitario,Rauch,Buenos Aires,Calles Conesa y Rondea,,(02297) 443895,,-36.7749176,-59.0897865
222,CIC,Centro Integrador Comunitario,Salto,Buenos Aires,Calle Viamonte e/ del Valle y Gonzale,,(02474) 423798,,-34.2934341,-60.2504234
223,CIC,Centro Integrador Comunitario,San Fernando,Buenos Aires,Guatemala S/N entre Pedro Giachino y Gilardoni - Villa Jardín,,(011) 4717-6746,,-34.477747,-58.58463
224,CIC,Centro Integrador Comunitario,San Miguel,Buenos Aires,Calles Sarmiento y Paso - Barrio Mitre,,(011) 4465-6027,,-34.5740408212,-58.7294340134
225,CIC,Centro Integrador Comunitario,San Pedro,Buenos Aires,Calle Iglesia S/N - Barrio San Miguel,,,,-33.682003,-59.665165
226,CIC,Centro Integrador Comunitario,Mar Chiquita,Buenos Aires,Av. San Martín y Pellegrini - Santa Clara del Mar - Camet Norte,,,,-37.820743,-57.496766
227,CIC,Centro Integrador Comunitario,Tandil,Buenos Aires,Calle La Pastora entre Chubut y Misiones - La Movediza,,(02293) 429484,,-37.30914,-59.172484
228,CIC,Centro Integrador Comunitario,Tandil,Buenos Aires,Calles Juldaín y De los Granaderos - Las Tunitas,,,,-37.341432,-59.14531
229,CIC,Centro Integrador Comunitario,Tres Arroyos,Buenos Aires,Brown 1300 (y Ayacucho) ,,,,-38.384795,-60.291308
230,CIC,Centro Integrador Comunitario,Villa Gesell,Buenos Aires,Av. Del Plata y Acceso a Ruta 11 - Mar de las Pampas,,,,-37.316771,-57.030775
231,CIC,Centro Integrador Comunitario,Zárate,Buenos Aires,Calles Pellegrini y Agustín Alvarez,,(03487) 446690,,-34.110046,-59.031215
232,CIC,Centro Integrador Comunitario,Alberti,Buenos Aires,Panama e/Ecuador y Brasil,,,,-35.0328076247,-60.2799224854
233,CIC,Centro Integrador Comunitario,General Pinto,Buenos Aires,Calle H. Irigoyen s/n,,(02356) 420203,,-34.7662315,-61.8832397
234,CIC,Centro Integrador Comunitario,Lobería,Buenos Aires,Calles S. García y Albarello,,(02261) 440327,,-38.1640892,-58.7817154
235,CIC,Centro Integrador Comunitario,Marcos Paz,Buenos Aires,Eva Duarte y Perón,,,,-34.76189,-58.815653
236,CIC,Centro Integrador Comunitario,El Brete,Córdoba,Esquina calles 2 de abril y Manuel Belgrano,5281,,,-30.6666698,-64.9000015
237,CIC,Centro Integrador Comunitario,Serrezuela,Córdoba,Manuel Belgrano y calle 2 de Abril (frente a la plaza Municipal),X5270ZAA,,,-30.6399155,-65.3872833
238,CIC,Centro Integrador Comunitario,Córdoba,Córdoba,Pje. Francisco Bodereau 3600  esq. Pasaje Común - Villa Siburu,,(0351) 4337307,,-31.394556,-64.226311
239,CIC,Centro Integrador Comunitario,Córdoba,Córdoba,Aviador Zaar esq Almonacid - Barrio La Tela,,(0351) 4333188 (interno 3188),,-31.427848,-64.252816
240,CIC,Centro Integrador Comunitario,Córdoba,Córdoba,Colorado y San Rafael - Barrio Cabildo,,,,-31.489573,-64.23462
241,CIC,Centro Integrador Comunitario,Colonia Caroya,Córdoba,Calle España Norte y José Alfredo Naninni (ex calle 43),X5223ZAA,(03525) 461154,cic-caroya@coop5.com.ar,-31.0336304,-64.083252
242,CAF,"Instituto Privado ""Carlos Linneo""",Oberá,Misiones,Gobernador Barreyro Nº 947,N3360AJS,(03755) 421154 / 404013,instituto_linneo@arnetbiz.com.ar,-27.48418304,-55.12513777
243,CAF,"Instituto Superior ""Antonio Ruiz de Montoya""",Posadas,Misiones,Ayacucho Nº 1962,N3300MLP,(0376) 4440055 / 4466580,isparm@isparm.edu.ar         cordef@isparm.edu.ar,-27.368151,-55.8970686
244,CAF,Instituto de Formación y Educación Superior,Neuquén,Neuquén,Santa Fe 3500,Q8300ZAA,(0299) 484857 / 4440307,informes@ifes.edu.ar,-38.95153822,-68.08391837
245,CAF,Instituto Terciario Séneca,Neuquén,Neuquén,Independencia Nº 744,Q8300GZP,(0299) 4471610 /  443-3101    ,info@seneca.edu.ar,-38.95153822,-68.08391837
246,CAF,Universidad Nacional del Comahue - Centro Regional Universitario Bariloche,Bariloche,Río Negro,Quintral Nº 1250,R8400ZAA,(0294) 4428505 / 4422111,decano@crub.uncoma.edu.ar,-41.13911242,-71.29899999
247,CAF,Instituto de Formación Docente Continua en Educación Física,Viedma,Río Negro,Boulevard Ayacucho Nº 1093,R8500EPH,(02920) 422397,institutoeducacionfisicarn@yahoo.com.ar,-40.81151967,-62.98535776
248,CAF,Universidad Nacional de Río Negro,Viedma,Río Negro,Garrone Nº 181,R8500AEC,(02920) 428969,sedeatlantica@unrn.edu.ar,-40.81151967,-62.98535776
249,CAF,Instituto Superior de Formación Profesional La Merced Nº 8155,La Merced,Salta,Hipólito Yrigoyen Nº 769,A4422ANI,(0387) 4906108,lamercedsalta@uolsinectis.com.ar,-24.96866589,-65.48960085
250,CAF,Profesorado para la EnseNanza Primaria con Modalidades Nº 6026,Rosario de Lerma,Salta,9 De Julio 485,A4405BBI,(0387) 4931784,,-24.98057659,-65.58044045
251,CAF,Instituto San Cayetano Nº 8092,Salta,Salta,San Juan 124,A4402AKF,(0387) 4223312,isancayetano@yahoo.com.ar,-24.7966744,-65.4048884
252,CAF,"Instituto Superior de Motricidad y Deportes ""Nuestra Señora del Valle"" Nº 8185",Salta,Salta,San Juan 71,A4402AKC,(0387) 4314173 / 4218461,ismode@arnet.com.ar,-24.7849563,-65.4141454
253,CAF,Universidad Católica de Salta,Salta,Salta,Pellegrini 790,A4402FYP,(0387) 4268545 / 4258546,educacionfisica@ucasal.net,-24.7849563,-65.4141454
254,CAF,Instituto Superior de Educación Física - San Juan,Santa Lucía,San Juan,Roque Sáenz Peña  Nº 2952,D5700AVA,(0264) 4251509 / 4254019,isefsanjuan@yahoo.com.ar,-31.54264821,-68.49799309
255,CAF,"Instituto de Formación Docente Continua ""Juan Pascual Pringles""",San Luis,San Luis,Colón Nº 75,D5700AVA,(0266) 4445498 / 4400165,aaamaldonado@yahoo.com.ar,-33.3101461,-66.332692
256,CAF,Instituto Cultural Argentino,Villa Mercedes,San Luis,Gobernador Alric Nº 374,J5461ZAB,(02657) 426855,institutoculturalargentino@hotmail.com,-33.676651,-65.4725875
257,CAF,"Instituto Superior del Profesorado Nº 5 ""Perito F. Moreno""",Cañada de Gómez,Santa Fé,Ballesteros Nº 907,S2500ZAA,(03471) 422509 / 422108,isp5@telnet.com.ar,-32.81909479,-61.38994247
258,CAF,"Instituto Superior de Educación Física Nº 11 ""Abdo. Mariano Grandoli""",Rosario,Santa Fé,Av. Dante Alighieri Nº 2550,S2000ZAC,(0341) 4725503,isef@isef11.com.ar,-32.95622035,-60.65152659
259,CAF,Universidad Abierta Interamericana,Rosario,Santa Fé,Ovidio Lagos Nº 944,S2000ZAC,(0341) 4356510,daniel.airasca@vaneduc.edu.ar,-32.95622035,-60.65152659
260,CAF,Universidad de Concepción del Uruguay - Centro Regional Rosario,Rosario,Santa Fé,Pellegrini 1556,S2000ZAC,(0341) 4490159 / 4496825,crr@ucu.edu.ar,-32.95622035,-60.65152659
261,CIC,Centro Integrador Comunitario,Gualeguaychú,Entre Ríos,Del Inmigrante y Pedigan,E2820ZAA,(03446) 436070,,-33.0150185,-58.5192451
262,CIC,Centro Integrador Comunitario,Lucas Sud,Entre Ríos,Ruta 38 Km.26,3241,(03455) 424922,,-32.517564,-59.104176
263,CIC,Centro Integrador Comunitario,Nogoyá,Entre Ríos,Nogoya y Federacion,E3150ZAA,(03435) 424418,cicnogoya@argentina.com.ar,-32.399216,-59.7877403
264,CIC,Centro Integrador Comunitario,Paraná,Entre Ríos,Corrientes y Urquiza,E3100ZAA,(03446) 420485 / 420490,cicparana@hotmail.com,-31.732958,-60.529025
265,CIC,Centro Integrador Comunitario,Victoria,Entre Ríos,Cochabamba entre Paso y Arenales,E3153ZAA,,informescic@arnetbiz.com.ar,-32.6220245,-60.1570702
266,CIC,Centro Integrador Comunitario,Villaguay,Entre Ríos,Tucumán y Ventura Fernandez - Barrio Don Bosco,E3246ZAA,,cicdonbosco@yahoo.com.ar /cicvillaguaycentro@hotmail.com,-31.849369,-59.015808
267,CIC,Centro Integrador Comunitario,Calchaquí,Santa Fé,Agustín P. Justo y Salta ,,,ciccalchaqui@gmail.com,-29.8899651,-60.2862091
268,CIC,Centro Integrador Comunitario,Capitán Bermúdez,Santa Fé,Laprida y Ayacucho,S2154ZAA,,cicbermudez@netcoop.com.ar,-32.817116,-60.722305
269,CIC,Centro Integrador Comunitario,Florencia,Santa Fé,Calle S/N,,,cicflorencia@yahoo.com.ar,-28.042601,-59.219051
270,CIC,Centro Integrador Comunitario,Rafaela,Santa Fé,Francia y Pje. Zaffetti,,(03492) 425849,,-31.248383,-61.47313
